number_ofC,molecular_weight,Density,molar_volume,melting_point,boiling_point,Tc,Pc,Vc,logP,pf_eigenvalue,fiedler_eigenvalue,degree_entropy,compression_ratio
0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.12502227766886473,0.3663663663663665,0.12055749128919864,0.021052631578947368,0.23809523809523808,0.28078817733990147,0.7701149425287357,0.1074561403508772,0.10746268656716418,0.4291845493562232,1.0,0.0,0.24630541871921185
0.25,0.25004455533772946,0.47147147147147134,0.2655052264808363,0.0,0.37777777777777777,0.4408866995073892,0.8620689655172413,0.22807017543859648,0.1895522388059701,0.6051502145922746,0.5,0.5539130434782609,0.3078817733990148
0.375,0.37497772233113524,0.46546546546546536,0.43623693379790945,0.17543859649122806,0.5238095238095238,0.5788177339901478,0.632183908045977,0.34210526315789475,0.26865671641791045,0.6952789699570816,0.293,0.6026086956521739,0.41133004926108374
0.375,0.37497772233113524,0.5075075075075074,0.41951219512195126,0.15087719298245614,0.48253968253968255,0.5344827586206896,0.632183908045977,0.35964912280701755,0.24925373134328352,0.7424892703862661,0.5,0.48869565217391314,0.41133004926108374
0.5,0.5000000000000001,0.6066066066066066,0.5393728222996516,0.20701754385964913,0.6349206349206349,0.687192118226601,0.5057471264367817,0.44956140350877194,0.31940298507462683,0.7424892703862661,0.191,0.5852173913043479,0.5221674876847291
0.5,0.5000000000000001,0.5705705705705706,0.5554006968641115,0.09824561403508772,0.6095238095238096,0.6650246305418719,0.5134099616858236,0.4583333333333333,0.18059701492537308,0.7939914163090129,0.2595,0.8260869565217391,0.5221674876847291
0.5,0.5000000000000001,0.5675675675675675,0.5567944250871081,0.6,0.5492063492063493,0.5935960591133005,0.5172413793103448,0.4473684210526316,0.3014925373134328,0.8583690987124464,0.5,0.4347826086956522,0.5221674876847291
0.625,0.6250222776688649,0.7057057057057058,0.6473867595818815,0.3192982456140351,0.7396825396825397,0.7783251231527094,0.3984674329501915,0.5942982456140351,0.40447761194029846,0.7725321888412017,0.134,0.5539130434782609,0.6403940886699508
0.625,0.6250222776688649,0.7057057057057058,0.6515679442508712,0.11929824561403508,0.7111111111111111,0.7561576354679803,0.3984674329501915,0.5877192982456141,0.3164179104477612,0.815450643776824,0.1625,0.8782608695652174,0.6403940886699508
0.625,0.6250222776688649,0.7207207207207208,0.6411149825783973,0.2736842105263158,0.7206349206349206,0.7733990147783252,0.4329501915708812,0.5877192982456141,0.3746268656716418,0.8283261802575107,0.191,0.8782608695652174,0.6403940886699508
0.625,0.6250222776688649,0.6756756756756758,0.6613240418118467,0.3157894736842105,0.6793650793650794,0.7339901477832512,0.4252873563218391,0.5701754385964912,0.4074626865671641,0.8884120171673818,0.243,0.7547826086956523,0.6403940886699508
0.625,0.6250222776688649,0.7147147147147148,0.6439024390243901,0.20701754385964913,0.7047619047619048,0.7610837438423645,0.4367816091954022,0.5678728070175438,0.34776119402985073,0.8884120171673818,0.243,0.7547826086956523,0.6403940886699508
0.75,0.7499554446622705,0.780780780780781,0.7581881533101045,0.34385964912280703,0.8317460317460318,0.8596059113300493,0.28735632183908044,0.7302631578947368,0.3597014925373134,0.7939914163090129,0.099,0.52,0.7586206896551725
0.75,0.7499554446622705,0.7657657657657659,0.7651567944250871,0.24561403508771928,0.8063492063492064,0.8374384236453202,0.29501915708812254,0.7216008771929825,0.39104477611940297,0.8283261802575107,0.1125,0.8695652173913044,0.7586206896551725
0.75,0.7499554446622705,0.7987987987987987,0.7484320557491289,0.24210526315789474,0.8126984126984127,0.8472906403940886,0.3295019157088123,0.6996271929824561,0.3577376276512175,0.8454935622317596,0.13,0.8695652173913044,0.7586206896551725
