name,number_ofC,molecular_weight,density,molar_volume,refractive_index,Molecular_refractive_power,dielectric_constant,melting_point,boiling_point,vapour_pressure,surface_tension,viscosity,logP,Tc,Pc,Vc
methane,1,16.04,0.424,37.8,1.0004,0.01,1.7,-183,-164,,,,1.09,-82,45.6,99.0
ethane,2,30.07,0.546,55.1,1.212,7.44,,-182,-89,3.85,,,1.81,32.0,39.6,148.0
propane,3,44.1,0.581,75.9,1.34,15.9,1.6,-188,-45,,,,2.36,97,42.0,203.0
butane,4,58.12,0.579,100.4,1.356,21.95,1.77,-138,1,214,12.46,,2.89,153.0,36.0,255.0
isobutane,4,58.12,0.593,98.0,1.352,21.2,,-145,-12,304,,,2.76,135.0,36.0,263.0
pentane,5,72.15,0.626,115.2,1.358,25.27,1.8,-129,36,420,15.48,0.23,3.23,197.0,32.7,304.0
isopentane,5,72.15,0.614,117.5,1.354,25.54,1.83,-160,28,79,,,2.3,188.0,32.9,308.0
"2,2-dimethylpropane",5,72.15,0.613,117.7,1.351,25.41,1.91,-17,9,146,,,3.11,159.0,33.0,303.0
hexane,6,86.18,0.659,130.7,1.375,29.71,1.9,-97,69,124,17.91,0.31,3.8,234.0,29.9,370.0
2-methylpentane,6,86.18,0.659,131.3,1.372,29.82,1.89,-154,60,,,,3.21,225.0,29.9,367.0
3-methylpentane,6,86.18,0.664,129.8,1.377,29.81,1.89,-110,63,21,,,3.6,232.0,30.8,367.0
"2,2-dimethylbutane",6,86.18,0.649,132.7,1.369,29.94,1.87,-98,50,37,,,3.82,216.0,30.6,359.0
"2,3-dimethylbutane",6,86.18,0.662,130.2,1.375,29.8,1.89,-129,58,,,,3.42,227.0,30.9,357.95
heptane,7,100.2,0.684,146.6,1.388,34.55,1.92,-90,98,36,20.3,0.42,3.5,267.0,27.0,432.0
2-methylhexane,7,100.2,0.679,147.6,1.385,34.61,1.92,-118,90,5,,,3.71,258.0,27.2,428.05
3-methylhexane,7,100.2,0.69,145.2,1.389,34.33,1.93,-119,92,,,,,262.0,28.1,418.03
"2,2-dimethylpentane",7,100.2,0.674,148.8,1.382,34.64,1.92,-125,79,,,,,248.0,28.4,416.03
"3,3-dimethylpentane",7,100.2,0.693,144.6,1.391,34.35,1.94,-135,86,,,,,263.0,30.0,419.13
"2,3-dimethylpentane",7,100.2,0.694,144.3,1.392,34.36,1.94,-135,90,,,,,264.0,29.2,405.0
"2,4-dimethylpentane",7,100.2,0.673,148.9,1.382,34.69,1.91,-119,81,,,,,247.0,27.4,420.03
3-ethylpentane,7,100.2,0.699,143.4,1.394,34.28,1.94,-119,93,,,,,267.0,28.6,416.03
"2,2,3-trimethylbutane",7,100.2,0.69,145.2,1.389,34.38,1.93,-25,81,,,,,258.0,29.7,393.9
octane,8,114.23,0.699,163.4,1.395,39.18,1.96,-57,126,12,21.7,0.5,7.79,295.0,24.6,492.0
"2,2-dimethylhexane",8,114.23,0.696,164.2,1.393,39.19,,-121,107,,,,,279,25.6,466.93
"2,3-dimethylhexane",8,114.23,0.712,160.3,1.401,38.97,,-91,116,,,,,293,26.6,460.99
"2,4-dimethylhexane",8,114.23,0.699,163.4,1.396,39.23,,-91,109,,,,,282,24.9,466.01
"2,5-dimethylhexane",8,114.23,0.694,164.6,1.393,39.25,,-91,109,,19.57,,4.12,279,25.0,478.01
"3,3-dimethylhexane",8,114.23,0.709,161.2,1.399,39.02,,-126,112,,,,,278,22.9,450.02
"3,4-dimethylhexane",8,114.23,0.72,158.7,1.404,38.84,,-91,117,,21.72,,,298,27.5,451.96
3-ethylhexane,8,114.23,0.712,160.4,1.402,39.05,,-91,118,,,,,294,26.2,466.01
3-ethyl-2-methylpentane,8,114.23,0.718,159.1,1.403,38.84,,-115,116,,,,,295,27.5,450.02
3-ethyl-3-methylpentane,8,114.23,0.726,157.4,1.408,38.85,,-91,118,,,,,305,28.9,434.94
2-methylheptane,8,114.23,0.698,163.7,1.395,39.22,,-109,118,,,,,288,24.8,488.06
3-methylheptane,8,114.23,0.706,161.9,1.398,39.09,,-121,119,,,,,292,25.6,478.01
4-methylheptane,8,114.23,0.716,159.5,1.398,38.59,,-121,118,,,,,290,25.6,475.95
"2,2,3,3-tetramethylbutane",8,114.23,0.722,158.2,1.409,39.12,,97,106,,,,,271,24.5,478.46
"2,2,3-trimethylpentane",8,114.23,0.716,159.5,1.403,38.94,1.96,-112,110,,,,,294,28.2,437.0
"2,2,4-trimethylpentane",8,114.23,0.692,165.1,1.391,39.26,1.94,-107,99,41,18.77,0.5,4.08,271,25.6,482.0
"2,3,3-trimethylpentane",8,114.23,0.726,157.4,1.408,38.78,,-109,115,,,,,303,28.9,433.0
"2,3,4-trimethylpentane",8,114.23,0.72,158.8,1.405,38.88,,-110,113,,,,,295,27.6,446.94
nonane,9,128.26,0.714,179.6,1.403,43.84,1.96,-51,151,4,22.9,0.67,5.65,322,22.8,555.0
"3,3-diethylpentane",9,128.26,0.753,170.4,1.421,43.18,,-41,139,,,,,324,22.6,474.8
"2,2-dimethylheptane",9,128.26,0.708,181.2,1.399,43.82,,-113,133,,,,,295,20.6,504.8
"2,3-dimethylheptane",9,128.26,0.724,177.3,1.409,43.78,,-116,141,,,,,309,21.9,494.0
"2,4-dimethylheptane",9,128.26,0.716,179.2,1.402,43.66,1.89,-113,134,,,,,298,21.3,499.3
"2,5-dimethylheptane",9,128.26,0.715,179.5,1.403,43.82,1.89,-113,136,,,,,301,21.2,500.2
